title	organization	location	mode	duration_weeks	stipend_per_month	description	requirements	req_1	req_2	req_3	req_4	req_5	req_6
AI Product Intern	Google	Bangalore	Onsite	12	80000	Work with product and engineering teams to translate AI research into user-facing features and prototypes.	Python; AI; Product Thinking	Python	AI	Product Thinking			
Agriculture Intern	ICAR	Patna	Onsite	12	10000	Support field trials, collect agricultural data, and assist in experimental documentation and analysis.	Farming; Research; Data Collection	Farming	Research	Data Collection			
Social Media Intern	Zomato	Delhi	Onsite	8	15000	Create, schedule and analyze social content, monitor engagement and support campaigns.	Social Media; Content Creation	Social Media	Content Creation				
Civil Engineering Intern	L&T	Mumbai	Onsite	12	25000	Assist in site planning, prepare AutoCAD drawings, and support coordination and documentation on projects.	Civil Engg; AutoCAD; Project Work	Civil Engg	AutoCAD	Project Work			
Graphic Design Intern	Adobe	Bangalore	Onsite	12	30000	Design visual assets for digital and print, work in Illustrator/Photoshop and support creative projects.	Photoshop; Illustrator; Creativity	Photoshop	Illustrator	Creativity			
Content Writing Intern	Byju's	Remote	Remote	8	15000	Develop instructional content, write explanatory lessons and adapt material for online learners.	Writing; Content Development	Writing	Content Development				
Robotics Intern	ISRO	Ahmedabad	Onsite	12	50000	Develop embedded control algorithms, integrate sensors and work on robotics prototyping and testing.	Robotics; C++; Sensors	Robotics	C++	Sensors			
PMIS Intern	PMIS Solutions Pvt Ltd 21	Delhi	Onsite	12	18000	Support PMIS tasks including schedule maintenance in MS Project, reporting and PMO assistance.	MS Project; Excel; PMO Support	MS Project	Excel	PMO Support			
Project Controls Intern	PrimePMO 22	Mumbai	Onsite	12	20000	Support cost control, schedule reporting and Earned Value Management for projects.	Primavera P6; Cost Control; EVM	Primavera P6	Cost Control	EVM			
PMIS Reporting Intern	InfraPMO Services 23	Bangalore	Onsite	12	18000	Build Power BI dashboards, automate reports and support SQL-backed PMIS reporting.	Power BI; SQL; Dashboarding	Power BI	SQL	Dashboarding			
PMIS Data Integration Intern	ProjectSphere 24	Hyderabad	Onsite	12	20000	Work on ETL pipelines, design SQL data flows and model data for PMIS integrations.	ETL; SQL; Data Modeling	ETL	SQL	Data Modeling			
Project Management Intern (PMIS)	ProjectEdge 25	Chennai	Onsite	12	18000	Assist with stakeholder coordination, update Gantt schedules and maintain MS Project plans.	Stakeholder Management; Gantt; MS Project	Stakeholder Management	Gantt	MS Project			
PMO Analyst Intern	PMO Solutions 26	Pune	Onsite	12	17000	Assist in resource planning, create reports and maintain Excel-based PMO trackers.	Resource Planning; Reporting; Excel	Resource Planning	Reporting	Excel			
Project Controls & PMIS Intern	Synergy PMIS 27	Kolkata	Onsite	12	19000	Support scheduling, risk tracking and EVM activities using Primavera P6 and controls tools.	Primavera P6; Risk Management; EVM	Primavera P6	Risk Management	EVM			
PMIS Implementation Intern	Nexus PMIS 28	Ahmedabad	Onsite	12	18000	Help configure PMIS solutions, set up SharePoint pages and manage Jira items during rollout.	Configuration; SharePoint; Jira	Configuration	SharePoint	Jira			
PMIS QA Intern	Atlas PMIS Pvt Ltd 29	Jaipur	Onsite	12	16000	Design and execute test cases, report defects and assist in requirements validation and QA cycles.	Testing; QA; Requirements Analysis	Testing	QA	Requirements Analysis			
PMIS Dashboard Intern	Orion PMIS 30	Lucknow	Onsite	12	18000	Create interactive Power BI dashboards, implement DAX measures and connect to SQL data sources.	Power BI; DAX; SQL	Power BI	DAX	SQL			
PMIS Automation Intern	Vector PMIS 31	Bhopal	Onsite	12	19000	Automate PMIS workflows using scripting, build Python integrations and connect external APIs.	Scripting; Python; API Integration	Scripting	Python	API Integration			
EVM & PMIS Intern	Apex PMIS Consulting 32	Patna	Onsite	12	18500	Support EVM analysis, prepare cost forecasts and maintain MS Project schedules for PMO reporting.	EVM; Cost Forecasting; MS Project	EVM	Cost Forecasting	MS Project			
PMIS Business Analyst Intern	BluePeak PMIS 33	Chandigarh	Onsite	12	18000	Gather requirements, map processes using BPMN and document solutions for PMIS projects.	BPMN; Requirements Gathering; Excel	BPMN	Requirements Gathering	Excel			
PMIS Support Intern	Cognify PMIS 34	Gurgaon	Onsite	12	17000	Provide user support, maintain documentation and update Confluence spaces for PMIS users.	User Support; Documentation; Confluence	User Support	Documentation	Confluence			
PMIS Data Engineer Intern	Delta PMIS Systems 35	Noida	Onsite	12	22000	Build ETL pipelines, maintain data warehouses and optimize SQL workloads for PMIS analytics.	SQL; ETL; Data Warehousing	SQL	ETL	Data Warehousing			
PMIS Testing Intern	Echelon PMIS 36	Kochi	Onsite	12	16500	Develop test plans, automate QA tasks and manage Jira-based testing cycles for releases.	Test Plans; QA Automation; Jira	Test Plans	QA Automation	Jira			
PMIS Configuration Intern	Fusion PMIS 37	Thiruvananthapuram	Onsite	12	17500	Configure system settings, manage SharePoint artifacts and run SQL queries to support PMIS.	System Configuration; SharePoint; SQL	System Configuration	SharePoint	SQL			
PMIS Migration Intern	GigaPMIS 38	Surat	Onsite	12	18500	Perform data migration tasks, run ETL jobs and validate migrated datasets to ensure data integrity.	Data Migration; ETL; Validation	Data Migration	ETL	Validation			
PMIS & Primavera Intern	Helix PMIS 39	Vadodara	Onsite	12	19000	Support scheduling with Primavera P6, assist in risk analysis and prepare PMIS reports for managers.	Primavera P6; Scheduling; Risk Analysis	Primavera P6	Scheduling	Risk Analysis			
PMIS Power BI Intern	Iris PMIS 40	Nagpur	Onsite	12	15000	PMIS Power BI Intern at Iris PMIS 40 in Nagpur â€” focused on Power BI development, dashboard design and SQL.	Power BI, Dashboard Design, SQL	Power BI	Dashboard Design	SQL			
PMIS Intern	Zenith PMIS 41	Indore	Onsite	12	15000	PMIS Intern at Zenith PMIS 41 in Indore â€” focused on MS Project, Excel and reporting.	MS Project, Excel, Reporting	MS Project	Excel	Reporting			
Project Controls Intern	Quantum PMIS 42	Dehradun	Onsite	12	15000	Project Controls Intern at Quantum PMIS 42 in Dehradun â€” focused on cost control, EVM and Primavera P6.	Cost Control, EVM, Primavera P6	Cost Control	EVM	Primavera P6			
PMIS Reporting Intern	Pinnacle PMIS 43	Mangalore	Onsite	12	15000	PMIS Reporting Intern at Pinnacle PMIS 43 in Mangalore â€” focused on Power BI, SQL and data visualization.	Power BI, SQL, Data Visualization	Power BI	SQL	Data Visualization			
PMIS Data Integration Intern	Summit PMIS 44	Ranchi	Onsite	12	15000	PMIS Data Integration Intern at Summit PMIS 44 in Ranchi â€” focused on ETL, APIs and data mapping.	ETL, APIs, Data Mapping	ETL	APIs	Data Mapping			
Project Management Intern (PMIS)	Keystone PMIS 45	Bhubaneswar	Onsite	12	15000	Project Management Intern (PMIS) at Keystone PMIS 45 in Bhubaneswar â€” focused on stakeholder coordination, Gantt and MS Project.	Stakeholder Coordination, Gantt, MS Project	Stakeholder Coordination	Gantt	MS Project			
PMO Analyst Intern	Stratus PMIS 46	Guwahati	Onsite	12	15000	PMO Analyst Intern at Stratus PMIS 46 in Guwahati â€” focused on resource scheduling, reporting and Excel.	Resource Scheduling, Reporting, Excel	Resource Scheduling	Reporting	Excel			
Project Controls & PMIS Intern	Aurora PMIS 47	Shillong	Onsite	12	15000	Project Controls & PMIS Intern at Aurora PMIS 47 in Shillong â€” focused on risk register, EVM and Primavera P6.	Risk Register, EVM, Primavera P6	Risk Register	EVM	Primavera P6			
PMIS Implementation Intern	Solstice PMIS 48	Goa	Onsite	12	15000	PMIS Implementation Intern at Solstice PMIS 48 in Goa â€” focused on deployment, user training and Confluence.	Deployment, User Training, Confluence	Deployment	User Training	Confluence			
PMIS QA Intern	Navigator PMIS 49	Remote	Remote	12	10000	PMIS QA Intern at Navigator PMIS 49 (Remote) â€” focused on quality assurance, test cases and Jira.	Quality Assurance, Test Cases, Jira	Quality Assurance	Test Cases	Jira			
PMIS Dashboard Intern	Crest PMIS 50	Delhi	Onsite	12	25000	PMIS Dashboard Intern at Crest PMIS 50 in Delhi â€” focused on Power BI, data modeling and DAX.	Power BI, Data Modeling, DAX	Power BI	Data Modeling	DAX			
PMIS Automation Intern	Vertex PMIS 51	Mumbai	Onsite	12	25000	PMIS Automation Intern at Vertex PMIS 51 in Mumbai â€” focused on automation scripts, Python and APIs.	Automation Scripts, Python, APIs	Automation Scripts	Python	APIs			
EVM & PMIS Intern	Harbor PMIS 52	Bangalore	Onsite	12	25000	EVM & PMIS Intern at Harbor PMIS 52 in Bangalore â€” focused on EVM, forecasting and cost management.	EVM, Forecasting, Cost Management	EVM	Forecasting	Cost Management			
PMIS Business Analyst Intern	Bridge PMIS 53	Hyderabad	Onsite	12	25000	PMIS Business Analyst Intern at Bridge PMIS 53 in Hyderabad â€” focused on process mapping, requirements and Excel.	Process Mapping, Requirements, Excel	Process Mapping	Requirements	Excel			
PMIS Support Intern	Pulse PMIS 54	Chennai	Onsite	12	25000	PMIS Support Intern at Pulse PMIS 54 in Chennai â€” focused on helpdesk, troubleshooting and documentation.	Helpdesk, Troubleshooting, Documentation	Helpdesk	Troubleshooting	Documentation			
PMIS Data Engineer Intern	AtlasWorks PMIS 55	Pune	Onsite	12	25000	PMIS Data Engineer Intern at AtlasWorks PMIS 55 in Pune â€” focused on data pipelines, SQL and ETL.	Data Pipelines, SQL, ETL	Data Pipelines	SQL	ETL			
PMIS Testing Intern	Core PMIS 56	Kolkata	Onsite	12	25000	PMIS Testing Intern at Core PMIS 56 in Kolkata â€” focused on system testing, automation and Jira.	System Testing, Automation, Jira	System Testing	Automation	Jira			
PMIS Configuration Intern	Orbit PMIS 57	Ahmedabad	Onsite	12	15000	PMIS Configuration Intern at Orbit PMIS 57 in Ahmedabad â€” focused on customization, configuration management and SharePoint.	Customization, Config Management, SharePoint	Customization	Config Management	SharePoint			
PMIS Migration Intern	VectorWorks PMIS 58	Jaipur	Onsite	12	15000	PMIS Migration Intern at VectorWorks PMIS 58 in Jaipur â€” focused on migration planning, ETL and validation.	Migration Planning, ETL, Validation	Migration Planning	ETL	Validation			
PMIS & Primavera Intern	Horizon PMIS 59	Lucknow	Onsite	12	15000	PMIS & Primavera Intern at Horizon PMIS 59 in Lucknow â€” focused on Primavera P6, scheduling and baseline management.	Primavera P6, Scheduling, Baseline Management	Primavera P6	Scheduling	Baseline Management			
PMIS Power BI Intern	Clarity PMIS 60	Bhopal	Onsite	12	15000	PMIS Power BI Intern at Clarity PMIS 60 in Bhopal â€” focused on Power BI, visualization and SQL.	Power BI, Visualization, SQL	Power BI	Visualization	SQL			
PMIS Intern	Element PMIS 61	Patna	Onsite	12	15000	PMIS Intern at Element PMIS 61 in Patna â€” focused on MS Project, PMO reporting and Excel.	MS Project, PMO Reporting, Excel	MS Project	PMO Reporting	Excel			
Project Controls Intern	SummitEdge PMIS 62	Chandigarh	Onsite	12	15000	Project Controls Intern at SummitEdge PMIS 62 in Chandigarh â€” focused on cost reports, EVM and Primavera.	Cost Reports, EVM, Primavera	Cost Reports	EVM	Primavera			
PMIS Reporting Intern	Nucleus PMIS 63	Gurgaon	Onsite	12	25000	PMIS Reporting Intern at Nucleus PMIS 63 in Gurgaon â€” focused on Power BI, SQL and report automation.	Power BI, SQL, Report Automation	Power BI	SQL	Report Automation			
PMIS Data Integration Intern	Converge PMIS 64	Noida	Onsite	12	25000	PMIS Data Integration Intern at Converge PMIS 64 in Noida â€” focused on API integration, ETL and data mapping.	API Integration, ETL, Data Mapping	API Integration	ETL	Data Mapping			
Project Management Intern (PMIS)	Beacon PMIS 65	Kochi	Onsite	12	15000	Project Management Intern (PMIS) at Beacon PMIS 65 in Kochi â€” focused on project planning, stakeholder communication and Gantt.	Project Planning, Stakeholder Comm., Gantt	Project Planning	Stakeholder Comm.	Gantt			
PMO Analyst Intern	VectorPrime PMIS 66	Thiruvananthapuram	Onsite	12	15000	PMO Analyst Intern at VectorPrime PMIS 66 in Thiruvananthapuram â€” focused on resource allocation, reporting and Excel.	Resource Allocation, Reporting, Excel	Resource Allocation	Reporting	Excel			
Project Controls & PMIS Intern	NorthStar PMIS 67	Surat	Onsite	12	15000	Project Controls & PMIS Intern at NorthStar PMIS 67 in Surat â€” focused on schedule risk, EVM and Primavera P6.	Schedule Risk, EVM, Primavera P6	Schedule Risk	EVM	Primavera P6			
PMIS Implementation Intern	BlueWave PMIS 68	Vadodara	Onsite	12	15000	PMIS Implementation Intern at BlueWave PMIS 68 in Vadodara â€” focused on implementation, user acceptance and Confluence.	Implementation, User Acceptance, Confluence	Implementation	User Acceptance	Confluence			
PMIS QA Intern	Redwood PMIS 69	Nagpur	Onsite	12	15000	PMIS QA Intern at Redwood PMIS 69 in Nagpur â€” focused on QA processes, test automation and Jira.	QA Processes, Test Automation, Jira	QA Processes	Test Automation	Jira			
PMIS Dashboard Intern	Skyline PMIS 70	Indore	Onsite	12	15000	PMIS Dashboard Intern at Skyline PMIS 70 in Indore â€” focused on Power BI, reporting and dashboarding.	Power BI, Reports, Dashboarding	Power BI	Reports	Dashboarding			
PMIS Automation Intern	InfraTech PMIS 71	Dehradun	Onsite	12	15000	PMIS Automation Intern at InfraTech PMIS 71 in Dehradun â€” focused on automation, Python and API work.	Automation, Python, API	Automation	Python	API			
EVM & PMIS Intern	Metro PMIS 72	Mangalore	Onsite	12	15000	EVM & PMIS Intern at Metro PMIS 72 in Mangalore â€” focused on EVM, cost analysis and MS Project.	EVM, Cost Analysis, MS Project	EVM	Cost Analysis	MS Project			
PMIS Testing Intern	TestBed PMIS 96	Surat	Onsite	12	15000	PMIS Testing Intern at TestBed PMIS 96 in Surat â€” focused on Functional Testing, Automation and Jira.	Functional Testing, Automation, Jira	Functional Testing	Automation	Jira			
PMIS Configuration Intern	ConfigWorks PMIS 97	Vadodara	Onsite	12	15000	PMIS Configuration Intern at ConfigWorks PMIS 97 in Vadodara â€” focused on Admin, Configuration and User Roles.	Admin, Configuration, User Roles	Admin	Configuration	User Roles			
PMIS Migration Intern	Transition PMIS 98	Nagpur	Onsite	12	15000	PMIS Migration Intern at Transition PMIS 98 in Nagpur â€” focused on Cutover Planning, ETL and Validation.	Cutover Planning, ETL, Validation	Cutover Planning	ETL	Validation			
PMIS & Primavera Intern	SchedulePro PMIS 99	Indore	Onsite	12	15000	PMIS & Primavera Intern at SchedulePro PMIS 99 in Indore â€” focused on Primavera P6, Baseline and Delay Analysis.	Primavera P6, Baseline, Delay Analysis	Primavera P6	Baseline	Delay Analysis			
PMIS Power BI Intern	ReportWorks PMIS 100	Dehradun	Onsite	12	15000	PMIS Power BI Intern at ReportWorks PMIS 100 in Dehradun â€” focused on Power BI, KPI Design and SQL.	Power BI, KPI Design, SQL	Power BI	KPI Design	SQL			
PMIS Intern	Track PMIS 101	Mangalore	Onsite	12	15000	PMIS Intern at Track PMIS 101 in Mangalore â€” focused on MS Project, PMO Support and Excel.	MS Project, PMO Support, Excel	MS Project	PMO Support	Excel			
Project Controls Intern	CoreWorks PMIS 102	Ranchi	Onsite	12	15000	Project Controls Intern at CoreWorks PMIS 102 in Ranchi â€” focused on Cost Management, EVM and Reporting.	Cost Management, EVM, Reporting	Cost Management	EVM	Reporting			
PMIS Reporting Intern	DataVista PMIS 103	Bhubaneswar	Onsite	12	15000	PMIS Reporting Intern at DataVista PMIS 103 in Bhubaneswar â€” focused on Power BI, Report Development and SQL.	Power BI, Report Development, SQL	Power BI	Report Development	SQL			
PMIS Data Integration Intern	Link PMIS 104	Guwahati	Onsite	12	15000	PMIS Data Integration Intern at Link PMIS 104 in Guwahati â€” focused on API, ETL and Data Mapping.	API, ETL, Data Mapping	API	ETL	Data Mapping			
Project Management Intern (PMIS)	Pilot PMIS 105	Shillong	Onsite	12	15000	Project Management Intern (PMIS) at Pilot PMIS 105 in Shillong â€” focused on Project Coordination, Gantt and Stakeholders.	Project Coordination, Gantt, Stakeholders	Project Coordination	Gantt	Stakeholders			
PMO Analyst Intern	Align PMIS 106	Goa	Onsite	12	15000	PMO Analyst Intern at Align PMIS 106 in Goa â€” focused on PMO Processes, Scheduling and Excel.	PMO Processes, Scheduling, Excel	PMO Processes	Scheduling	Excel			
Project Controls & PMIS Intern	Construct PMIS 107	Remote	Remote	12	10000	Project Controls & PMIS Intern at Construct PMIS 107 (Remote) â€” focused on Schedule Control, EVM and Primavera P6.	Schedule Control, EVM, Primavera P6	Schedule Control	EVM	Primavera P6			
PMIS Implementation Intern	Implementa PMIS 108	Delhi	Onsite	12	25000	PMIS Implementation Intern at Implementa PMIS 108 in Delhi â€” focused on System Setup, Training and Documentation.	System Setup, Training, Documentation	System Setup	Training	Documentation			
PMIS QA Intern	Verify PMIS 109	Mumbai	Onsite	12	25000	PMIS QA Intern at Verify PMIS 109 in Mumbai â€” focused on Quality Assurance, Test Cases and Jira.	Quality Assurance, Test Cases, Jira	Quality Assurance	Test Cases	Jira			
PMIS Dashboard Intern	DashPro PMIS 110	Bangalore	Onsite	12	25000	PMIS Dashboard Intern at DashPro PMIS 110 in Bangalore â€” focused on Power BI, Visualization and DAX.	Power BI, Visualization, DAX	Power BI	Visualization	DAX			
PMIS Automation Intern	AutoPMIS 111	Hyderabad	Onsite	12	25000	PMIS Automation Intern at AutoPMIS 111 in Hyderabad â€” focused on Scripting, RPA Basics and Python.	Scripting, RPA Basics, Python	Scripting	RPA Basics	Python			
EVM & PMIS Intern	CostCore PMIS 112	Chennai	Onsite	12	25000	EVM & PMIS Intern at CostCore PMIS 112 in Chennai â€” focused on EVM, Cost Tracking and MS Project.	EVM, Cost Tracking, MS Project	EVM	Cost Tracking	MS Project			
PMIS Business Analyst Intern	ProcessPMIS 113	Pune	Onsite	12	25000	PMIS Business Analyst Intern at ProcessPMIS 113 in Pune â€” focused on Business Analysis, Requirements and BPMN.	Business Analysis, Requirements, BPMN	Business Analysis	Requirements	BPMN			
PMIS Support Intern	ClientCare PMIS 114	Kolkata	Onsite	12	25000	PMIS Support Intern at ClientCare PMIS 114 in Kolkata â€” focused on User Support, Documentation and Training.	User Support, Documentation, Training	User Support	Documentation	Training			
PMIS Data Engineer Intern	Pipeline PMIS 115	Ahmedabad	Onsite	12	15000	PMIS Data Engineer Intern at Pipeline PMIS 115 in Ahmedabad â€” focused on ETL, SQL and Data Pipelines.	ETL, SQL, Data Pipelines	ETL	SQL	Data Pipelines			
PMIS Testing Intern	QAWorks PMIS 116	Jaipur	Onsite	12	15000	PMIS Testing Intern at QAWorks PMIS 116 in Jaipur â€” focused on Test Execution, Automation and Jira.	Test Execution, Automation, Jira	Test Execution	Automation	Jira			
PMIS Configuration Intern	Admin PMIS 117	Lucknow	Onsite	12	15000	PMIS Configuration Intern at Admin PMIS 117 in Lucknow â€” focused on Configuration, Permissions and SharePoint.	Configuration, Permissions, SharePoint	Configuration	Permissions	SharePoint			
PMIS Migration Intern	Shift PMIS 118	Bhopal	Onsite	12	15000	PMIS Migration Intern at Shift PMIS 118 in Bhopal â€” focused on Data Migration, ETL and Reconciliation.	Data Migration, ETL, Reconciliation	Data Migration	ETL	Reconciliation			
PMIS & Primavera Intern	Scheduler PMIS 119	Patna	Onsite	12	15000	PMIS & Primavera Intern at Scheduler PMIS 119 in Patna â€” focused on Primavera P6, Schedule Health Checks and Risk.	Primavera P6, Schedule Health Checks, Risk	Primavera P6	Schedule Health Checks	Risk			
PMIS Power BI Intern	Visual PMIS 120	Chandigarh	Onsite	12	15000	PMIS Power BI Intern at Visual PMIS 120 in Chandigarh â€” focused on Power BI, Data Modeling and SQL.	Power BI, Data Modeling, SQL	Power BI	Data Modeling	SQL			
PMIS Intern	Matrix PMIS 121	Gurgaon	Onsite	12	25000	PMIS Intern at Matrix PMIS 121 in Gurgaon â€” focused on MS Project, Reporting and PMO Support.	MS Project, Reporting, PMO Support	MS Project	Reporting	PMO Support			
Project Controls Intern	Forge PMIS 122	Noida	Onsite	12	25000	Project Controls Intern at Forge PMIS 122 in Noida â€” focused on Budget Control, EVM and Primavera P6.	Budget Control, EVM, Primavera P6	Budget Control	EVM	Primavera P6			
PMIS Reporting Intern	Illume PMIS 123	Kochi	Onsite	12	15000	PMIS Reporting Intern at Illume PMIS 123 in Kochi â€” focused on Power BI, Report Automation and DAX.	Power BI, Report Automation, DAX	Power BI	Report Automation	DAX			
PMIS Data Integration Intern	Sync PMIS 124	Thiruvananthapuram	Onsite	12	15000	PMIS Data Integration Intern at Sync PMIS 124 in Thiruvananthapuram â€” focused on Data Sync, ETL and API Integration.	Data Sync, ETL, API Integration	Data Sync	ETL	API Integration			
Project Management Intern (PMIS)	HarborPoint PMIS 125	Surat	Onsite	12	15000	Project Management Intern (PMIS) at HarborPoint PMIS 125 in Surat â€” focused on Planning, Stakeholder Comm. and Gantt.	Planning, Stakeholder Comm., Gantt	Planning	Stakeholder Comm.	Gantt			
PMO Analyst Intern	AlignWorks PMIS 126	Vadodara	Onsite	12	15000	PMO Analyst Intern at AlignWorks PMIS 126 in Vadodara â€” focused on Resource Mgmt, Reporting and Excel.	Resource Mgmt, Reporting, Excel	Resource Mgmt	Reporting	Excel			
Project Controls & PMIS Intern	Stone PMIS 127	Nagpur	Onsite	12	15000	Project Controls & PMIS Intern at Stone PMIS 127 in Nagpur â€” focused on Schedule Recovery, EVM and Primavera.	Schedule Recovery, EVM, Primavera	Schedule Recovery	EVM	Primavera			
PMIS Implementation Intern	Deploy PMIS 128	Indore	Onsite	12	15000	PMIS Implementation Intern at Deploy PMIS 128 in Indore â€” focused on Deployment, Configuration and User Training.	Deployment, Configuration, User Training	Deployment	Configuration	User Training			
PMIS QA Intern	Assure PMIS 129	Dehradun	Onsite	12	15000	PMIS QA Intern at Assure PMIS 129 in Dehradun â€” focused on QA, Defect Tracking and Jira.	QA, Defect Tracking, Jira	QA	Defect Tracking	Jira			
PMIS Dashboard Intern	Focus PMIS 130	Mangalore	Onsite	12	15000	PMIS Dashboard Intern at Focus PMIS 130 in Mangalore â€” focused on Power BI, Visualization, KPI.	Power BI, Visualization, KPI	Power BI	Visualization	KPI			
PMIS Automation Intern	AutoCore PMIS 131	Ranchi	Onsite	12	15000	PMIS Automation Intern at AutoCore PMIS 131 in Ranchi â€” focused on Automation, Python, Scripts.	Automation, Python, Scripts	Automation	Python	Scripts			
EVM & PMIS Intern	Budget PMIS 132	Bhubaneswar	Onsite	12	15000	EVM & PMIS Intern at Budget PMIS 132 in Bhubaneswar â€” focused on EVM, Forecast, Cost Mgmt.	EVM, Forecast, Cost Mgmt	EVM	Forecast	Cost Mgmt			
PMIS Business Analyst Intern	InsightWorks PMIS 133	Guwahati	Onsite	12	15000	PMIS Business Analyst Intern at InsightWorks PMIS 133 in Guwahati â€” focused on Analysis, Documentation, BPMN.	Analysis, Documentation, BPMN	Analysis	Documentation	BPMN			
PMIS Support Intern	SupportNet PMIS 134	Shillong	Onsite	12	15000	PMIS Support Intern at SupportNet PMIS 134 in Shillong â€” focused on User Assistance, Training, Docs.	User Assistance, Training, Docs	User Assistance	Training	Docs			
PMIS Data Engineer Intern	CoreData PMIS 135	Goa	Onsite	12	15000	PMIS Data Engineer Intern at CoreData PMIS 135 in Goa â€” focused on ETL, Data Modeling, SQL.	ETL, Data Modeling, SQL	ETL	Data Modeling	SQL			
PMIS Testing Intern	Check PMIS 136	Remote	Remote	12	10000	PMIS Testing Intern at Check PMIS 136 (Remote) â€” focused on Testing, QA Processes, Jira.	Testing, QA Processes, Jira	Testing	QA Processes	Jira			
PMIS Configuration Intern	SetUp PMIS 137	Delhi	Onsite	12	25000	PMIS Configuration Intern at SetUp PMIS 137 in Delhi â€” focused on Config Management, Permissions, SharePoint.	Config Management, Permissions, SharePoint	Config Management	Permissions	SharePoint			
PMIS Migration Intern	Relocate PMIS 138	Mumbai	Onsite	12	25000	PMIS Migration Intern at Relocate PMIS 138 in Mumbai â€” focused on Migration Plans, ETL, Testing.	Migration Plans, ETL, Testing	Migration Plans	ETL	Testing			
PMIS & Primavera Intern	Chrono PMIS 139	Bangalore	Onsite	12	25000	PMIS & Primavera Intern at Chrono PMIS 139 in Bangalore â€” focused on Primavera P6, Schedule Analysis, Risk.	Primavera P6, Schedule Analysis, Risk	Primavera P6	Schedule Analysis	Risk			
PMIS Power BI Intern	Reveal PMIS 140	Hyderabad	Onsite	12	25000	PMIS Power BI Intern at Reveal PMIS 140 in Hyderabad â€” focused on Power BI, Report Development, SQL.	Power BI, Report Development, SQL	Power BI	Report Development	SQL			
PMIS Intern	Nimble PMIS 141	Chennai	Onsite	12	25000	PMIS Intern at Nimble PMIS 141 in Chennai â€” focused on MS Project, Excel, Reporting.	MS Project, Excel, Reporting	MS Project	Excel	Reporting			
Project Controls Intern	VectorPrime PMIS 142	Pune	Onsite	12	25000	Project Controls Intern at VectorPrime PMIS 142 in Pune â€” focused on Cost Control, EVM, Primavera.	Cost Control, EVM, Primavera	Cost Control	EVM	Primavera			
PMIS Reporting Intern	ClearView PMIS 143	Kolkata	Onsite	12	25000	PMIS Reporting Intern at ClearView PMIS 143 in Kolkata â€” focused on Power BI, KPI Tracking, SQL.	Power BI, KPI Tracking, SQL	Power BI	KPI Tracking	SQL			
PMIS Data Integration Intern	BridgeWorks PMIS 144	Ahmedabad	Onsite	12	15000	PMIS Data Integration Intern at BridgeWorks PMIS 144 in Ahmedabad â€” focused on ETL, API, Data Quality.	ETL, API, Data Quality	ETL	API	Data Quality			
